Periode,pnbp_minyak_bumi
4/30/2018,1.26915E+12
2/5/2018,2.37097E+12
3/5/2018,4.12252E+11
7/5/2018,1.17256E+12
9/5/2018,1.32879E+11
11/5/2018,2.87011E+11
5/14/2018,1.02105E+11
5/15/2018,8.12456E+11
5/16/2018,6.59326E+11
5/18/2018,2.70864E+11
5/22/2018,6.26885E+11
5/23/2018,79773749149
5/25/2018,9.39314E+11
5/28/2018,3.06942E+11
5/30/2018,1.52133E+12
5/31/2018,1.94172E+12
4/6/2018,8.70598E+11
5/6/2018,745402908
6/6/2018,4.31306E+11
6/19/2018,3.72052E+12
6/22/2018,1.01714E+11
6/25/2018,3.71364E+11
6/26/2018,4.26586E+11
6/27/2018,1.29237E+11
2/7/2018,4.67509E+11
3/7/2018,3.40413E+12
5/7/2018,1.25562E+11
6/7/2018,7.72048E+11
10/7/2018,1.54712E+11
11/7/2018,2.87572E+11
12/7/2018,7.73696E+11
7/16/2018,7.4354E+11
7/17/2018,3.86448E+11
7/18/2018,3.50316E+11
7/19/2018,2.92825E+11
7/20/2018,5.40794E+11
7/23/2018,8.43949E+11
7/26/2018,4.93535E+11
7/27/2018,3.07981E+11
7/30/2018,3.9758E+11
7/31/2018,1.91037E+12
1/8/2018,5.48351E+11
3/8/2018,1.0237E+12
6/8/2018,6.8155E+11
7/8/2018,2.21338E+11
8/8/2018,5.34695E+11
9/8/2018,1.47464E+11
10/8/2018,34012583351
8/14/2018,1.51426E+11
8/16/2018,6.25493E+11
8/20/2018,4.02381E+11
8/21/2018,5.7449E+11
8/23/2018,5.67441E+11
8/27/2018,2.33145E+11
8/28/2018,3.96549E+11
8/29/2018,5.28231E+11
8/30/2018,1.93718E+11
8/31/2018,1.71994E+12
3/9/2018,2.81879E+12
5/9/2018,4.82157E+11
7/9/2018,3.29268E+11
10/9/2018,5.69118E+11
12/9/2018,2.0454E+11
9/13/2018,45200558092
9/14/2018,3.40443E+11
9/18/2018,1.27885E+12
9/20/2018,2411760261
9/21/2018,1.04884E+12
9/25/2018,1.53203E+11
9/27/2018,1.25884E+11
9/28/2018,5.34289E+11
1/10/2018,4.33995E+11
2/10/2018,3.6355E+12
3/10/2018,6.10734E+11
4/10/2018,1.87479E+11
8/10/2018,5.5274E+11
9/10/2018,5.31669E+11
10/10/2018,3.23548E+11
11/10/2018,1.61991E+11
12/10/2018,65100907977
10/16/2018,9.04272E+11
10/17/2018,5.05059E+11
10/19/2018,6.15798E+11
10/22/2018,1.0596E+11
10/23/2018,2.66197E+11
10/25/2018,2.81538E+11
10/29/2018,6.81108E+11
10/30/2018,6.10772E+11
10/31/2018,3.29025E+12
2/11/2018,3.78227E+11
6/11/2018,804664790
7/11/2018,5.79597E+11
9/11/2018,7.81581E+11
11/13/2018,6.63765E+11
11/14/2018,2.21465E+11
11/15/2018,1.79261E+11
11/16/2018,3.7405E+11
11/19/2018,5.05491E+11
11/21/2018,7.24439E+11
11/22/2018,1.72844E+11
11/23/2018,5.27925E+11
11/26/2018,2.12216E+11
11/27/2018,3.62688E+11
11/28/2018,28876158
11/29/2018,1.21978E+11
11/30/2018,-3.57671E+11
3/12/2018,4.611E+12
4/12/2018,1.29786E+12
5/12/2018,5.06319E+11
10/12/2018,7.14657E+11
11/12/2018,5.45502E+11
12/12/2018,62232699468
12/13/2018,5.02932E+11
12/17/2018,3.3051E+11
12/18/2018,71948256889
12/19/2018,5.33606E+11
12/21/2018,1.92433E+11
12/26/2018,1.31125E+12
12/27/2018,3.81679E+11
12/28/2018,-4.44362E+11
12/31/2018,-2.37703E+13
7/1/2019,4.33239E+11
9/1/2019,4.8764E+11
11/1/2019,2.11E+11
1/14/2019,6.92025E+11
1/15/2019,3.45373E+11
1/17/2019,6.09829E+11
1/18/2019,2.61874E+11
1/22/2019,6.36276E+11
1/25/2019,4.68085E+11
1/29/2019,5.53566E+11
1/30/2019,99408377191
1/31/2019,6.46341E+11
1/2/2019,1.86159E+12
4/2/2019,7.37683E+11
6/2/2019,3.82035E+11
7/2/2019,2.41142E+11
